Year,Country,Institutional_Rank
1978,Algeria,1
1978,Pakistan,3
1978,Argentina,4
1978,Faroe Islands,5
1978,Brunei Darussalam,6
1978,Greece,7
1978,Australia,8
1978,St. Vincent and the Grenadines,9
1978,Slovenia,10
1978,Indonesia,11
1978,Canada,12
1978,Germany,13
1978,Nepal,14
1978,Belarus,15
1978,Philippines,16
1978,North America,17
1978,Iceland,18
1978,Romania,19
1978,Kuwait,20
1978,United States,21
1978,Puerto Rico,22
1978,Morocco,23
1978,Denmark,25
1978,Israel,26
1978,Suriname,27
1978,Belgium,28
1978,Ecuador,29
1978,Cuba,30
1978,Switzerland,31
1978,Qatar,32
1978,Bermuda,33
1978,Post-demographic dividend,34
1978,Norway,36
1978,New Zealand,37
1978,OECD members,38
1978,France,39
1978,Albania,40
1978,St. Kitts and Nevis,41
1978,Euro area,42
1978,Malta,43
1978,Sint Maarten (Dutch part),44
1978,St. Lucia,45
1978,Jamaica,46
1978,Sweden,47
1978,Turks and Caicos Islands,49
1978,Netherlands,50
1978,Austria,51
1978,Japan,52
1978,British Virgin Islands,53
1978,Channel Islands,54
1978,Gibraltar,56
1978,Guam,57
1978,Central Europe and the Baltics,58
1978,Barbados,59
1978,Luxembourg,60
1978,Montenegro,61
1978,Estonia,62
1978,Cyprus,63
1978,"Korea, Dem. People's Rep.",64
1978,Italy,65
1978,Europe & Central Asia (excluding high income),66
1978,Sri Lanka,67
1978,New Caledonia,67
1978,European Union,68
1978,Poland,69
1978,Aruba,70
1978,Antigua and Barbuda,71
1978,East Asia & Pacific,72
1978,India,73
1978,Singapore,74
1978,High income,75
1978,St. Martin (French part),76
1978,Grenada,77
1978,Virgin Islands (U.S.),78
1978,Croatia,79
1978,Kosovo,80
1978,Tonga,80
1978,China,81
1978,Ukraine,82
1978,Latvia,83
1978,Trinidad and Tobago,84
1978,United Kingdom,85
1978,Mauritius,86
1978,"Micronesia, Fed. Sts.",86
1978,Greenland,87
1978,Finland,88
1978,Europe & Central Asia,89
1978,Chile,90
1978,Thailand,92
1978,Bahrain,93
1978,Lithuania,94
1978,Europe & Central Asia (IDA & IBRD countries),95
1978,Hungary,96
1978,Ireland,97
1978,Serbia,98
1978,Isle of Man,99
1978,Georgia,100
1978,Iraq,101
1978,Caribbean small states,102
1978,Jordan,103
1978,Tajikistan,104
1978,"Bahamas, The",105
1978,Belize,106
1978,Malaysia,107
1978,French Polynesia,108
1978,Tunisia,110
1978,Panama,111
1978,Peru,112
1978,Moldova,113
1978,Uruguay,114
1978,Spain,116
1978,Portugal,117
1978,Ethiopia,118
1978,"Congo, Rep.",118
1978,Least developed countries: UN classification,118
1978,Middle East & North Africa (excluding high income),118
1978,Tanzania,118
1978,Papua New Guinea,118
1978,Liberia,118
1978,Cambodia,118
1978,Benin,118
1978,Angola,118
1978,Senegal,118
1978,Bangladesh,118
1978,Low income,118
1978,Eritrea,118
1978,Rwanda,118
1978,Africa Eastern and Southern,118
1978,Uganda,118
1978,Burundi,118
1978,Mozambique,118
1978,Pre-demographic dividend,118
1978,South Sudan,118
1978,Equatorial Guinea,118
1978,"Congo, Dem. Rep.",118
1978,Timor-Leste,118
1978,"Gambia, The",118
1978,Malawi,118
1978,Somalia,118
1978,Niger,118
1978,Madagascar,118
1978,Maldives,118
1978,Togo,118
1978,Chad,118
1978,Sierra Leone,118
1978,South Asia (IDA & IBRD),118
1978,Mali,118
1978,Middle East & North Africa (IDA & IBRD countries),118
1978,Burkina Faso,118
1978,Myanmar,118
1978,Lao PDR,118
1978,Afghanistan,118
1978,Sub-Saharan Africa (excluding high income),118
1978,Africa Western and Central,118
1978,Sub-Saharan Africa (IDA & IBRD countries),118
1978,Sub-Saharan Africa,118
1978,Marshall Islands,119
1978,Samoa,120
1978,Bulgaria,121
1978,Oman,122
1978,Arab World,123
1978,IDA & IBRD total,124
1978,Sao Tome and Principe,124
1978,Gabon,124
1978,South Africa,125
1978,Djibouti,126
1978,Central African Republic,126
1978,Comoros,126
1978,Dominica,127
1978,Curacao,127
1978,World,128
1978,North Macedonia,129
1978,Costa Rica,130
1978,Kiribati,132
1978,Lesotho,133
1978,Lower middle income,133
1978,IDA total,133
1978,Late-demographic dividend,134
1978,Middle East & North Africa,135
1978,Fragile and conflict affected situations,136
1978,Namibia,136
1978,Guatemala,137
1978,Paraguay,138
1978,Bolivia,139
1978,Cameroon,139
1978,Heavily indebted poor countries (HIPC),140
1978,Nigeria,140
1978,Middle income,141
1978,Low & middle income,141
1978,Kenya,142
1978,Other small states,142
1978,Cabo Verde,143
1978,South Asia,144
1978,Ghana,144
1978,Haiti,144
1978,Fiji,145
1978,Guinea-Bissau,146
1978,Mauritania,146
1978,"Yemen, Rep.",147
1978,Zimbabwe,148
1978,Botswana,148
1978,El Salvador,149
1978,Dominican Republic,150
1978,Early-demographic dividend,151
1978,IDA only,152
1978,Guinea,153
1978,Bhutan,153
1978,Zambia,154
1978,Nicaragua,155
1978,United Arab Emirates,156
1978,Solomon Islands,157
1978,Honduras,158
1978,Kyrgyz Republic,159
1978,IDA blend,160
1978,Nauru,160
1978,Sudan,160
1978,IBRD only,161
1978,Armenia,162
1978,Eswatini,164
1978,Vanuatu,165
1978,Guyana,166
1978,Pacific island small states,167
1978,Turkmenistan,168
1978,Mongolia,169
1978,Uzbekistan,170
1978,Small states,171
1978,Latin America & Caribbean (excluding high income),172
1978,Tuvalu,173
1978,East Asia & Pacific (excluding high income),174
1978,Upper middle income,175
1978,Latin America & Caribbean,176
1978,Latin America & the Caribbean (IDA & IBRD countries),177
1978,Libya,178
1978,East Asia & Pacific (IDA & IBRD countries),179
1978,Mexico,180
1978,Kazakhstan,181
