Year,Country,Quality_of_Life_Rank
1990,Zimbabwe,185
1990,Nicaragua,186
1990,Marshall Islands,187
1990,China,189
1990,Sao Tome and Principe,190
1990,Guatemala,191
1990,South Asia,193
1990,Lesotho,194
1990,Kenya,195
1990,Vanuatu,196
1990,Ghana,197
1990,South Asia (IDA & IBRD),198
1990,Lower middle income,199
1990,Cameroon,200
1990,Morocco,201
1990,Kiribati,202
1990,Lao PDR,203
1990,Maldives,204
1990,IDA blend,204
1990,Fragile and conflict affected situations,205
1990,IDA total,206
1990,India,208
1990,IDA only,209
1990,Haiti,210
1990,Bhutan,212
1990,"Gambia, The",213
1990,"Congo, Rep.",214
1990,Eritrea,215
1990,Zambia,216
1990,Togo,217
1990,Djibouti,218
1990,"Yemen, Rep.",219
1990,Least developed countries: UN classification,220
1990,Pakistan,221
1990,Madagascar,222
1990,Nepal,223
1990,Low income,224
1990,Mauritania,225
1990,Heavily indebted poor countries (HIPC),226
1990,Bangladesh,227
1990,Pre-demographic dividend,228
1990,Comoros,229
1990,Sub-Saharan Africa (excluding high income),230
1990,Sub-Saharan Africa,230
1990,Sub-Saharan Africa (IDA & IBRD countries),230
1990,Nigeria,231
1990,Cambodia,232
1990,Senegal,233
1990,Tanzania,234
1990,Papua New Guinea,235
1990,Benin,236
1990,Timor-Leste,237
1990,"Congo, Dem. Rep.",238
1990,Liberia,240
1990,Central African Republic,241
1990,Sudan,242
1990,Myanmar,243
1990,Uganda,244
1990,Burkina Faso,245
1990,Equatorial Guinea,246
1990,Somalia,247
1990,Guinea-Bissau,248
1990,Africa Eastern and Southern,249
1990,Sierra Leone,251
1990,Andorra,252
1990,Malawi,253
1990,Africa Western and Central,254
1990,Chad,255
1990,Angola,256
1990,Burundi,257
1990,South Sudan,258
1990,Rwanda,259
1990,Ethiopia,260
1990,Afghanistan,261
1990,Guinea,262
1990,Mozambique,263
1990,Mali,264
1990,Niger,265
