GDP_Growth_Rate,Inflation_Rate,GDP_Per_Capita,Unemployment_Rate,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country,Year
1.137275544,3425.9874080841378,253.3823695,4.245329430178698,62.871052852826836,22.33660409585198,25.760607492016238,34.11584268875047,31.08514431381793,47.860182334049405,Africa Eastern and Southern,1970
17.56641211,5.163245715682051,219.8653684,7.742296858808795,36.214735477975374,9.18302473135333,39.964809329514374,53.55677883805933,31.727458794587985,11.572628543550332,Africa Western and Central,1970
8.86265711,6.599999999,352.5338404,4.744385977506473,40.67675418913521,12.955566898091073,61.81951655690575,82.92087704529577,43.78847015823552,36.34914135710563,Algeria,1970
0.538833850890226,6.653393395553419,3958.595725,11.433113311070196,41.28749026722563,11.752171597775892,61.7233318047216,82.91685139844913,52.640261550761316,45.51979918414088,Andorra,1970
22.32043828,34.80916956021386,351.870854,4.678423814167359,57.02419163281396,22.99122021693881,23.50000738523559,33.06673854845567,31.006944152373432,50.908061084309765,Arab World,1970
3.045643319,7.902955555805957,7761.765195105379,13.33871600427331,69.60730369466593,22.584685749280894,45.35792619948052,61.85936527962661,56.971943342439,39.946042505711766,Argentina,1970
7.175799265,3.439153439,3304.83782,8.840211810323199,35.555397714189645,9.227699595113585,39.68221441258322,52.8694391132427,41.28519270215334,39.17087667710224,Australia,1970
7.122875502,4.372824416,2058.769051,7.53072411506557,35.488225238548225,8.771086658539703,38.79724628498553,53.198814918707264,39.83703395246214,43.149462202709834,Austria,1970
-5.649649519,6.152093421,3005.784399,17.742247656094523,61.323910328571195,22.375735087408245,23.907478086841124,32.557051780942935,32.16534880671933,37.39903587246691,"Bahamas, The",1970
5.2846895313648155,1.628981278,1759.463345,11.808434498536341,59.34644137106096,22.924795918022436,23.19243916118982,32.564267679801176,31.22389464301259,45.57130580921916,Bahrain,1970
5.619852293,4.624018691140058,133.1429452,11.990446234252333,49.78375507143115,15.460128241472965,60.51961735814839,82.7752695348755,46.57527977252199,12.840227681591779,Bangladesh,1970
9.509402995,7.284216374,688.5346662,3.444909345134775,81.32218190318702,44.90070969795045,28.180989879169967,42.53578721399508,45.91550275895141,40.397579315245,Barbados,1970
6.352672114,3.908472385,2765.890997,10.55361169716379,81.40928638902271,45.75207830264375,28.287000562536264,42.49031861420551,44.300069759934786,32.345415720071095,Belgium,1970
4.807693364,1502.0402161139534,441.1719393,3.3306362375223446,58.83105965236797,23.270851305853814,23.122397840369285,33.85764505711986,28.977291028435797,41.032981748744774,Belize,1970
2.097757581,4.669341780352016,110.34695,10.773056506200925,39.25893791958623,12.987477144564012,59.94168599314376,80.50131953910231,46.48781215991658,11.870882002926757,Benin,1970
6.31229236,30.469014694611214,3387.272727,7.4298498000177355,40.19349153569206,11.566870946078993,60.04601007303619,83.0537956481271,49.928319329238924,41.98252432161342,Bermuda,1970
8.939837009410398,46.433681452484315,206.8027897,3.867151405239784,44.77061154769399,13.561318808368428,63.99548417499636,83.65727162623885,51.38179979743557,52.488671262631335,Bhutan,1970
5.231029301,3.955509211,219.55969,7.234497775938734,107.91013528572351,65.03634840919442,54.13626733156286,74.21183125128972,53.559605111749555,31.859887794463024,Bolivia,1970
17.12026767,28.32386435449483,162.506051,12.27724976127783,82.74766023009363,50.00900772274903,27.888024840359027,42.41513823797868,45.00729999984808,18.72495352786697,Botswana,1970
10.4,7.299835560099027,6234.578497952622,12.35921100237377,40.219953753466115,11.761988613507912,60.21285032829666,83.84740689605572,51.243239872613536,41.38135438478242,Brazil,1970
4.295767517543587,15.093463064491518,1342.994603,10.980430344206193,58.59651571490835,28.642615329779574,22.749961467568212,35.00794347782442,24.62325996070227,20.214582467644565,Brunei Darussalam,1970
0.117019611,1.772603315,81.68773209,4.30341443474165,67.81538140509986,27.42784078907124,61.90549407847745,72.04533568008529,72.78183454970818,32.580029909803024,Burkina Faso,1970
21.32567073,-0.199650611,69.39510892,12.716048370095656,60.6782261888436,22.203069312735636,24.040942481000855,33.33566068672728,31.81293898129896,38.8215088626817,Burundi,1970
3.092068234,5.858085809,178.4061667,4.800222940554712,57.24526604839442,21.24194342842197,23.14593232813279,32.82483407409377,31.019799552328085,39.70218738890021,Cameroon,1970
2.918713242,3.346039814,4135.821498,13.283635424461906,44.97283827502844,12.467348922774065,61.25687807511857,84.43167640980943,54.33198963503576,47.75026584346572,Canada,1970
1.078585387,8.955248819610143,709.9327389,13.640277021508306,80.60788020675078,43.612316934226094,28.081701923244378,41.85643116072294,51.60454342368772,43.33047908489089,Caribbean small states,1970
2.332880877,8412.18133226854,91.47264874,3.0807740273460475,80.73861284681873,44.56075432383332,28.555305723996764,42.00772336928177,50.04437935345385,45.060477451062745,Central African Republic,1970
1.859656479,447.4512778664966,127.9564554,13.792047112012986,59.13580324492772,28.006548246423247,23.683376346689503,35.49531023885266,24.46066849404909,16.260433527399684,Chad,1970
1.82896697,2429.528559801448,931.1267372,3.2050609755687804,59.155698596335164,22.341847141259223,23.883898199981385,33.26932422829172,31.09697763983976,47.34607292376183,Chile,1970
19.3,4.593296789265023,113.1625778,11.400989245665317,39.79651066317615,12.883889166883854,60.72537954988805,82.71927097461528,43.94637279865293,23.02414102255472,China,1970
6.207796961,6.908622758,344.3325998,2.6512674917399375,35.828484515330295,8.077814743895898,42.070860901902826,51.84089685148271,30.312091691357207,23.38911861416267,Colombia,1970
-0.245056575,8.025284045,6997.599223303088,15.93493274272017,40.56355312298518,11.710743034114843,60.005441663805215,79.36410813744173,54.24418254872734,47.2746658411642,"Congo, Dem. Rep.",1970
6.358470187,5.116319076089164,196.8238117,7.0277077937145735,36.2031035189609,9.134219860123716,39.0984919524915,51.59359487310787,31.61038665267191,8.966170282272396,"Congo, Rep.",1970
7.503134343,4.652297493,530.7063376,2.536335590127847,36.20646039177084,9.192460519341644,42.245925448353084,52.194622071364314,30.635762365673674,24.18420183856621,Costa Rica,1970
10.37503184,8.205190543,265.7403582,2.5729717746413403,57.734355474549176,27.252433863821768,23.990564872211152,35.69388084177435,23.929287750902343,35.45740945894513,Cote d'Ivoire,1970
7.929960187639899,4539.58108140132,641.8533072,3.841035162797389,81.84016194307782,45.058522193976806,27.931057340340487,42.59222035429536,46.13186614682072,40.35223948641078,Cuba,1970
2.415464801720788,2.40018825,6955.394431089139,8.468397070245711,67.99292608825036,24.85758012697193,27.936698573807025,33.95310876424352,42.683656621103104,53.437346813590175,Cyprus,1970
1.596841747,6.514841417,3464.455156,11.853145469247506,35.440597378625846,8.92583086845042,41.24285158589583,54.71709995975825,43.3964322620782,41.49569830313673,Denmark,1970
-1.8330302875654223,12.39349896,3934.0608528697485,13.045411111390607,35.67644304736769,8.88104913179931,38.18257085148252,53.3383499257505,41.46140114474856,38.77155890453523,Dominica,1970
18.22668288,3.816666666,331.8907091,2.5919210928847427,57.093419077880434,27.42245910008732,23.619642715280836,35.81700755049662,23.699074974372635,26.11920621362415,Dominican Republic,1970
8.289922,3.812664908,215.3002986,2.445631475333849,36.20646039177084,9.225244089178704,42.281122820803326,52.492515769828266,30.896179069593245,24.18420183856621,Early-demographic dividend,1970
3.891123438,8.358711394638046,320.2438084,3.385476373853995,35.66534106441714,8.843241309484364,41.85242680513348,50.85951281369429,34.16633414612672,24.457446201054683,East Asia & Pacific,1970
13.44169049,9243.183512246242,115.2622192,2.7601355901369384,36.10190104022666,8.587904780402821,42.13058007065073,53.59517075893933,34.34539980201986,35.95426441512942,East Asia & Pacific (IDA & IBRD countries),1970
13.44169049,4.857775944006568,113.8319801,11.794118882501522,36.2031035189609,9.312460595059703,40.151006637717025,53.316444901425605,31.73683379371875,11.931676150185046,East Asia & Pacific (excluding high income),1970
6.87192933,5.17127612,463.7724284,4.188036199806905,39.6406595559639,12.792473546403995,60.413668388978486,81.80941862123092,43.77653696943412,34.14673441582709,Ecuador,1970
