Year,Country,Inflation_Rate,GDP_Per_Capita,GDP_Growth_Rate,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index
1970,Africa Eastern and Southern,10.328049333700001,253.3823695,1.137275544,5.175243793160767,32.63704607059607,27.92017103382729
1970,Africa Western and Central,4.635118896093023,219.8653684,17.56641211,4.103712693124262,39.1861936119436,29.33384153138528
1970,Arab World,5.65645677074,351.870854,22.32043828,4.089239507581575,39.11203084138084,30.44571000098757
1970,Argentina,23.317391304347826,7948.212148756097,3.045643319,5.1176970271814834,41.855355205905205,36.705538976301476
1970,Australia,3.439153439,3304.83782,7.175799265,3.839744343460309,42.71056891441893,32.33582926934176
1970,Austria,4.372824416,2058.769051,7.122875502,4.086307832084447,37.60817051282052,36.394279266566784
1970,Burundi,-0.199650611,69.39510892,21.32567073,4.785075444572788,43.10113833388832,30.788446303410627
1970,Belgium,3.908472385,2765.890997,6.352672114,4.0071386738543575,42.52922918192919,33.75551084054834
1970,Benin,3.9251107240000005,110.34695,2.097757581,4.653718159841696,36.88732554112555,26.435849155011667
1970,Burkina Faso,1.772603315,81.68773209,0.117019611,4.931239022340509,41.8638207015207,28.957152378830315
1970,Bangladesh,6.376803452270271,133.1429452,5.619852293,3.7128401520363976,38.31814292929292,25.626312655400156
1970,"Bahamas, The",6.152093421,3005.784399,-5.649649519,5.097040256389701,34.98668513414689,31.69728077004694
1970,Belize,2.4619018649999997,441.1719393,4.807693364,3.2230127254911465,38.58012640692641,27.148554142344597
1970,Bermuda,,3387.272727,6.31229236,3.942043841956384,39.83566956376956,30.785117084304584
1970,Bolivia,3.955509211,219.55969,5.231029301,3.6218501325079075,36.60176378066379,25.721668731268718
1970,Brazil,273.85442999893024,6597.142822285714,10.4,4.654938867694394,51.13229023754024,30.188453798978795
1970,Barbados,7.284216374,688.5346662,9.509402995,3.350513375187242,39.28452997557997,27.409546229464972
1970,Botswana,8.882858721795918,162.506051,17.12026767,4.158300314635723,41.02162117327117,27.051751618520367
1970,Central African Republic,3.8619773663255814,91.47264874,2.332880877,4.610504936176472,36.59866363636363,26.381272287434793
1970,Canada,3.346039814,4135.821498,2.918713242,4.64024318512148,43.46907580752581,34.94569753441006
