Year,Country,Institutional_Rank
1998,Finland,1
1998,Netherlands,2
1998,Denmark,3
1998,Norway,4
1998,Switzerland,5
1998,New Zealand,6
1998,United Kingdom,7
1998,Sweden,8
1998,Canada,9
1998,Austria,10
1998,Iceland,11
1998,Singapore,12
1998,Germany,13
1998,Australia,14
1998,Ireland,15
1998,United States,16
1998,Belgium,17
1998,Spain,18
1998,France,19
1998,Portugal,20
1998,Chile,22
1998,Japan,23
1998,Slovenia,24
1998,Cyprus,25
1998,Malta,26
1998,Israel,27
1998,Hungary,28
1998,Italy,29
1998,Greece,30
1998,Poland,31
1998,Uruguay,33
1998,Estonia,34
1998,Costa Rica,35
1998,United Arab Emirates,36
1998,Lithuania,37
1998,South Africa,39
1998,Malaysia,40
1998,Bahrain,42
1998,Latvia,44
1998,Kuwait,45
1998,Qatar,46
1998,Thailand,47
1998,Panama,48
1998,Jordan,49
1998,Argentina,50
1998,Morocco,51
1998,Mongolia,52
1998,Philippines,53
1998,Brazil,54
1998,Bulgaria,55
1998,India,56
1998,Tunisia,57
1998,Mexico,58
1998,Moldova,59
1998,Montenegro,60
1998,Saudi Arabia,62
1998,Romania,63
1998,Croatia,65
1998,Peru,66
1998,Nepal,67
1998,Lebanon,68
1998,China,69
1998,Ecuador,70
1998,North Macedonia,72
1998,Colombia,73
1998,Armenia,74
1998,Nicaragua,75
1998,Belarus,77
1998,Pakistan,78
1998,Indonesia,81
1998,Kazakhstan,83
1998,Ukraine,84
1998,Georgia,85
1998,Algeria,86
1998,Azerbaijan,87
1998,Serbia,88
