Year,Country,Sustainability_Rank
1982,Norway,1
1982,Netherlands,2
1982,Germany,3
1982,Switzerland,4
1982,Australia,5
1982,Slovenia,6
1982,United States,7
1982,Costa Rica,8
1982,Japan,9
1982,Qatar,10
1982,Austria,11
1982,Spain,12
1982,Canada,13
1982,Kuwait,14
1982,North Macedonia,15
1982,Euro area,16
1982,Ireland,17
1982,Bulgaria,18
1982,France,19
1982,Tunisia,20
1982,Finland,21
1982,OECD members,23
1982,European Union,24
1982,Puerto Rico,25
1982,Sweden,26
1982,Post-demographic dividend,27
1982,Iceland,28
1982,Bermuda,29
1982,Channel Islands,30
1982,Uruguay,31
1982,Denmark,32
1982,Cuba,33
1982,Belgium,34
1982,Greece,35
1982,Italy,36
1982,Malaysia,37
1982,Romania,38
1982,Hungary,40
1982,Chile,42
1982,High income,44
1982,Armenia,45
1982,Europe & Central Asia (IDA & IBRD countries),46
1982,Croatia,47
1982,Luxembourg,49
1982,Singapore,50
1982,"Korea, Dem. People's Rep.",51
1982,Serbia,52
1982,Sint Maarten (Dutch part),53
1982,Sri Lanka,54
1982,Malta,55
1982,Isle of Man,56
1982,Barbados,57
1982,Dominica,58
1982,Argentina,59
1982,North America,60
1982,Europe & Central Asia (excluding high income),61
1982,New Zealand,62
1982,Aruba,63
1982,Portugal,64
1982,Lithuania,65
1982,Small states,66
1982,Poland,67
1982,Gibraltar,68
1982,"Bahamas, The",69
1982,Saudi Arabia,70
1982,Kosovo,71
1982,Trinidad and Tobago,72
1982,St. Vincent and the Grenadines,73
1982,Cyprus,74
1982,St. Martin (French part),75
1982,Ukraine,76
1982,Panama,77
1982,Jamaica,78
1982,Guam,78
1982,Moldova,79
1982,Estonia,80
1982,Caribbean small states,81
1982,Central Europe and the Baltics,82
1982,Grenada,83
1982,United Kingdom,84
1982,China,85
1982,St. Kitts and Nevis,86
1982,Virgin Islands (U.S.),88
1982,Curacao,89
1982,Albania,90
1982,British Virgin Islands,91
1982,Bahrain,92
1982,Brazil,93
1982,French Polynesia,94
1982,Israel,95
1982,Colombia,97
1982,Montenegro,99
1982,Latvia,101
1982,Europe & Central Asia,102
1982,East Asia & Pacific,103
1982,Brunei Darussalam,104
1982,Latin America & Caribbean (excluding high income),105
1982,Dominican Republic,106
1982,Antigua and Barbuda,107
1982,Tonga,108
1982,Georgia,109
1982,Mauritius,110
1982,Kazakhstan,111
1982,East Asia & Pacific (IDA & IBRD countries),112
1982,United Arab Emirates,113
1982,Fiji,114
1982,Latin America & Caribbean,115
1982,Turks and Caicos Islands,116
1982,"Micronesia, Fed. Sts.",117
1982,Belarus,118
1982,Late-demographic dividend,119
1982,Seychelles,120
1982,Greenland,122
1982,Turkmenistan,123
1982,Solomon Islands,124
1982,Jordan,125
1982,East Asia & Pacific (excluding high income),126
1982,Belize,127
1982,Ecuador,128
1982,Samoa,129
1982,St. Lucia,130
1982,Uzbekistan,131
1982,Upper middle income,132
1982,Thailand,133
1982,Paraguay,135
1982,Botswana,135
1982,Philippines,136
1982,Libya,137
1982,Cabo Verde,138
1982,New Caledonia,139
1982,Guyana,140
1982,World,141
1982,Mexico,142
1982,Latin America & the Caribbean (IDA & IBRD countries),143
1982,Low & middle income,144
1982,Togo,145
1982,Oman,146
1982,Zimbabwe,146
1982,Tajikistan,147
1982,Eswatini,148
1982,Vanuatu,149
1982,Nauru,150
1982,Honduras,151
1982,Marshall Islands,152
1982,IBRD only,153
1982,Other small states,154
1982,Tuvalu,155
1982,Azerbaijan,157
1982,Madagascar,158
1982,"Congo, Dem. Rep.",159
1982,Arab World,159
1982,Kyrgyz Republic,160
1982,India,161
1982,Sudan,162
1982,Lebanon,163
1982,Gabon,164
1982,Cambodia,165
1982,IDA & IBRD total,166
1982,Suriname,167
1982,Sao Tome and Principe,168
1982,Middle income,168
1982,"Yemen, Rep.",169
1982,IDA blend,170
1982,Zambia,171
1982,Pacific island small states,172
1982,Low income,173
1982,Guinea-Bissau,173
1982,Guinea,173
1982,Maldives,173
1982,Benin,173
1982,Eritrea,173
1982,Rwanda,173
1982,Papua New Guinea,173
1982,South Sudan,173
1982,Nigeria,173
1982,Africa Eastern and Southern,173
1982,Angola,173
1982,Mozambique,173
1982,Uganda,173
1982,Niger,173
1982,Somalia,173
1982,Least developed countries: UN classification,173
1982,Mali,173
1982,Mauritania,173
1982,Burundi,173
1982,Burkina Faso,173
1982,Timor-Leste,173
1982,Malawi,173
1982,Tanzania,173
1982,Chad,173
1982,Comoros,173
1982,Sierra Leone,173
1982,South Asia (IDA & IBRD),173
1982,Pre-demographic dividend,173
1982,Bhutan,173
1982,Afghanistan,173
1982,Sub-Saharan Africa (excluding high income),173
1982,Lao PDR,173
1982,Sub-Saharan Africa (IDA & IBRD countries),173
1982,Central African Republic,173
1982,Senegal,173
1982,Sub-Saharan Africa,173
1982,Ethiopia,173
1982,Liberia,173
1982,Africa Western and Central,173
1982,Bangladesh,174
1982,Equatorial Guinea,174
1982,Early-demographic dividend,175
