Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Georgia,2021,-0.976,0.488,1.133,0.122,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.29284999999999994,53,53,0
United Kingdom,2021,1.212,1.476,1.905,0.463,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,1.4082,19,19,0
Greece,2021,0.486,0.368,1.651,0.205,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.8220999999999999,31,31,0
Hungary,2021,-0.238,0.454,1.398,0.377,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.59985,40,40,0
Croatia,2021,0.381,0.372,1.476,-0.118,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.6871499999999999,37,37,0
Qatar,1971,-0.474,0.16161,0.084,0.46891,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.07266500000000001,9,10,-1
Portugal,1971,-0.915,-0.51423,0.21,0.00405,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.27345900000000006,69,69,0
Peru,1971,-0.819,-0.30882,-1.406,-0.86758,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8517619999999999,156,175,-19
Philippines,1971,-0.983,-0.27701,-0.927,-0.66241,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.690285,113,121,-8
Pakistan,1971,-0.623,-0.84634,-1.668,-0.84217,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-1.0473359999999998,232,224,8
Panama,1971,-0.807,-0.59778,-0.607,-0.9138,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.705594,115,115,0
Tunisia,1971,-0.892,-0.34269,-0.556,-0.50117,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.548241,101,102,-1
Uruguay,1971,-1.039,-0.44378,0.338,0.24363,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.19080799999999998,53,58,-5
United States,1971,-0.191,-0.20271,0.411,-0.30254,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.03622100000000001,23,15,8
South Africa,1971,-0.855,0.08927,-0.282,-0.2763,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.28407899999999997,71,76,-5
Singapore,1971,-0.752,-0.35091,0.165,0.20928,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.164317,50,53,-3
Saudi Arabia,1971,-0.764,-0.49601,-1.249,-0.88112,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8525270000000001,157,164,-7
Thailand,1971,-0.724,-0.65841,-0.169,0.10539,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.3719450000000001,82,83,-1
Sweden,1971,-0.738,-0.49154,0.817,0.71542,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.09312199999999998,7,7,0
New Zealand,1971,-0.883,-0.20417,0.458,0.5335,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.006248999999999991,15,22,-7
Argentina,1971,-0.408,-0.42511,-0.179,0.05218,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.252397,66,66,0
Hungary,1971,-0.813,-0.19501,0.392,0.36293,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.030917,21,29,-8
Germany,1971,-0.78,-0.59406,0.256,-0.01958,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.261334,67,64,3
Costa Rica,1971,-0.849,-0.52648,-0.185,-0.54367,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.49197799999999997,96,97,-1
Colombia,1971,-0.888,-0.37576,-0.579,-0.65106,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.59424,104,107,-3
China,1971,-0.777,-0.35923,-0.577,-0.64142,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.564553,102,103,-1
Chile,1971,-1.032,-0.29398,-0.291,0.03134,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.375626,84,91,-7
Switzerland,1971,-0.698,-0.19229,0.731,-0.04141,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.013731000000000004,12,9,3
Canada,1971,-0.376,-0.48507,0.548,0.15824,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.02467299999999998,19,14,5
Denmark,1971,-0.794,-0.39617,0.548,0.24134,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.06498300000000001,28,33,-5
Brazil,1971,-0.543,-0.81996,-1.092,-0.79455,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.841098,152,145,7
Bahrain,1971,-0.722,-0.69482,-0.161,0.16123,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.3689,81,82,-1
Belgium,1971,-0.261,-0.24554,0.402,-0.22483,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.05022800000000001,27,19,8
Austria,1971,-0.511,-0.41845,0.347,0.16052,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.091531,36,35,1
Australia,1971,-0.92,-0.548,0.201,-0.15832,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.31976400000000005,74,75,-1
Greece,1971,-0.92,-0.54453,0.379,0.46566,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.14052699999999996,44,46,-2
Georgia,1971,-0.883,-0.34617,0.27,-0.00575,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.200601,57,55,2
Algeria,1971,-0.573,-0.82715,-1.92,-0.86716,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-1.112177,239,238,1
United Kingdom,1971,-0.885,-0.51223,0.479,0.58683,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.069603,31,37,-6
France,1971,-0.818,-0.31491,0.317,0.27427,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.10811899999999997,39,39,0
Finland,1971,-0.792,-0.45582,0.324,0.1862,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.16070600000000002,49,49,0
Spain,1971,-0.847,-0.43805,0.273,-0.11464,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.241843,63,62,1
Ecuador,1971,-0.861,-0.09117,-1.086,-1.04106,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7335630000000002,118,127,-9
United Arab Emirates,1971,-0.232,-1.35376,-0.513,-0.49971,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7063699999999999,116,110,6
Cyprus,1971,0.287,-0.31667,0.128,-0.23103,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.04540700000000001,26,13,13
Morocco,1971,-0.833,-0.30303,-1.687,-0.86609,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.936827,202,207,-5
Mexico,1971,-0.823,-0.49375,-0.929,-0.87863,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7671510000000001,125,129,-4
Malta,1971,-0.722,-0.25321,0.103,0.21686,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.146091,45,51,-6
Malaysia,1971,-0.779,-0.43695,-0.185,-0.22045,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.38647500000000007,87,87,0
Nicaragua,1971,-0.841,-0.34778,-1.1,-1.10565,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8236640000000001,142,150,-8
Norway,1971,-0.788,-0.47683,0.337,0.1583,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.16788899999999998,51,50,1
Nepal,1971,-0.554,-0.82191,-1.737,-0.86716,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-1.051905,234,228,6
Kuwait,1971,-0.386,-0.27521,-0.073,-0.00832,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.183327,52,54,-2
Japan,1971,-0.831,-0.43062,0.372,0.25548,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.13269000000000006,42,42,0
Italy,1971,-0.465,-0.42497,0.343,0.25509,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.066573,30,31,-1
Israel,1971,-0.85,-0.71828,0.534,-0.06144,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.23757200000000003,61,57,4
Iceland,1971,-0.588,0.12808,0.47,0.14853,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.09152999999999999,8,8,0
Netherlands,1971,-0.784,-0.36471,0.348,0.12538,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.13673700000000005,43,41,2
Ireland,1971,-0.76,-0.08417,0.515,0.18335,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.01391899999999998,11,16,-5
Jordan,1971,-0.587,-0.88758,-0.879,-0.81819,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8110120000000001,134,130,4
Poland,1971,-0.09,0.0265,0.413,0.22636,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.15912199999999999,2,2,0
Indonesia,1971,-0.828,-0.40489,-1.101,-1.13547,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.844461,153,157,-4
India,1971,-0.73,-0.53213,-1.188,-0.75173,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.812385,135,146,-11
Greece,1972,-0.709,0.43927,0.525,-0.17561,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.11235899999999997,12,12,0
Georgia,1972,-0.882,-0.35109,0.276,0.05652,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.187623,55,56,-1
United Kingdom,1972,-0.826,-0.3907,0.412,0.4393,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.07095,31,35,-4
France,1972,-0.816,-0.38101,0.342,0.19071,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.13676099999999997,44,46,-2
United States,1972,-0.291,-0.84974,0.26,0.28384,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.178354,50,47,3
South Africa,1972,-0.853,-0.22202,-0.995,-0.82557,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.70082,117,123,-6
Uruguay,1972,-0.898,-0.55638,0.338,0.31887,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.18134,52,54,-2
Kuwait,1972,-0.428,0.134,0.115,0.16383,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.021865999999999997,15,17,-2
Japan,1972,-0.718,-0.25642,0.415,-0.1087,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.11776600000000001,41,38,3
Israel,1972,-0.677,0.2564,0.552,0.05714,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.11854799999999999,10,11,-1
Iceland,1972,-0.876,-0.79336,0.519,0.20556,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.216396,62,57,5
Ireland,1972,-0.841,-0.42694,0.171,-0.0196,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.24890200000000004,69,69,0
India,1972,-0.893,0.00174,-1.17,-1.28286,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.78565,135,142,-7
Indonesia,1972,-0.892,0.02648,-1.119,-1.1434,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.734836,123,133,-10
Hungary,1972,-0.814,-0.2168,0.398,0.32045,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.04434999999999997,21,29,-8
Italy,1972,-0.864,-0.62486,0.483,0.46807,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.12174399999999996,42,42,0
Malaysia,1972,-0.935,-0.59302,-0.119,-0.75613,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.551832,99,98,1
Nicaragua,1972,-0.808,-0.30715,-1.633,-0.87417,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.918479,187,202,-15
Netherlands,1972,-0.899,-0.78868,0.446,0.4055,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.20150399999999996,58,58,0
Nepal,1972,-0.882,-0.00572,-1.683,-1.28979,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.9409740000000001,203,209,-6
New Zealand,1972,-0.761,-0.22265,0.427,0.18545,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.053805,28,28,0
Pakistan,1972,-0.87,-0.04382,-1.418,-1.29278,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8711019999999999,163,174,-11
Norway,1972,-0.867,-0.63699,0.355,-0.10638,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.279273,74,72,2
Morocco,1972,-0.78,-0.42541,-1.693,-0.87655,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.966833,210,211,-1
Mexico,1972,-0.905,-0.10166,-0.824,-0.63442,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.585582,105,109,-4
Malta,1972,-0.861,-0.4833,0.195,0.05058,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.24857400000000002,68,70,-2
Panama,1972,-0.859,-0.36525,-0.096,-0.5778,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.42573500000000003,90,87,3
Peru,1972,-0.91,0.08168,-1.43,-1.14289,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8150740000000001,144,160,-16
Philippines,1972,-0.898,-0.02292,-0.903,-0.48075,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.553526,101,104,-3
Sweden,1972,-0.409,-0.20573,0.872,0.04371,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.126823,8,4,4
Thailand,1972,-0.72,-0.45328,0.045,0.04453,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.257578,71,73,-2
Tunisia,1972,-0.833,-0.16753,-0.712,-0.34021,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.49850099999999997,95,99,-4
Finland,1972,-0.833,-0.36653,0.177,0.04115,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.21522900000000003,61,62,-1
Portugal,1972,-0.953,-0.53154,-0.094,-0.87393,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.553048,100,97,3
Qatar,1972,-0.411,0.23903,0.083,0.2314,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.06068900000000001,14,14,0
Saudi Arabia,1972,-0.761,-0.39512,-1.108,-1.1453,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.832196,149,147,2
Singapore,1972,-0.755,-0.36271,0.141,0.20229,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.17705500000000002,49,55,-6
Bahrain,1972,-0.811,-0.39821,-0.087,-0.52991,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.41374500000000003,86,85,1
Belgium,1972,-0.804,-0.33667,0.469,0.36009,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.04908300000000006,24,27,-3
Austria,1972,-0.875,-0.57599,0.359,0.1333,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.21343700000000004,60,60,0
Australia,1972,-0.858,-0.34754,0.427,0.4029,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.067182,30,32,-2
United Arab Emirates,1972,-0.206,-1.41307,-0.55,-0.55951,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7420230000000001,124,116,8
Cyprus,1972,0.38,-0.70742,0.22,-0.59228,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.188682,56,34,22
Jordan,1972,-0.881,-0.54388,-0.536,-0.80588,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.66134,110,111,-1
Poland,1972,-0.146,-0.10099,0.45,0.19413,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.11432900000000001,11,8,3
Brazil,1972,-0.492,-1.18283,-0.434,-0.7149,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.726429,120,115,5
Argentina,1972,-0.306,-0.34153,-0.141,0.03491,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.19897700000000001,57,59,-2
Spain,1972,-0.883,-0.12597,0.323,0.34582,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.048326999999999995,22,31,-9
Ecuador,1972,-0.909,0.06078,-1.025,-0.42105,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.555276,102,108,-6
Denmark,1972,-0.741,-0.27551,0.688,0.79756,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.135059,6,10,-4
Germany,1972,-0.823,-0.28509,0.441,0.48576,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.02067499999999997,18,24,-6
Algeria,1972,-0.873,-0.03852,-1.919,-1.29993,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-1.021842,225,232,-7
Colombia,1972,-0.977,-0.85533,-0.327,0.13402,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.523295,97,100,-3
Canada,1972,-0.716,0.60655,0.536,-0.24135,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.151295,4,9,-5
Switzerland,1972,-0.557,0.06456,0.762,0.60612,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.25779199999999997,1,1,0
Costa Rica,1972,-0.84,-0.49061,-0.184,-0.55478,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.481339,94,94,0
Chile,1972,-0.988,-0.76622,-0.524,-0.81507,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.74768,127,127,0
China,1972,-0.737,-0.27248,-0.571,-0.49256,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.498956,96,95,1
Malta,1973,-0.865,-0.52132,0.208,0.19155,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.228686,68,69,-1
Morocco,1973,-0.796,-0.2956,-1.699,-0.8722,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.9320200000000001,196,205,-9
Mexico,1973,-0.947,-0.40362,-0.793,-0.93598,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7355820000000001,128,134,-6
Kuwait,1973,-0.363,-0.30415,0.182,0.38459,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.032326999999999995,24,28,-4
Georgia,1973,-0.923,-0.4269,0.307,0.48945,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.12267999999999998,46,54,-8
Greece,1973,-0.959,-0.7251,0.611,0.16677,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.192676,63,60,3
Malaysia,1973,-0.89,-0.33779,-0.367,-0.41001,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.471439,99,98,1
Hungary,1973,-0.88,-0.25525,0.416,0.52346,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.023082999999999992,22,34,-12
Indonesia,1973,-1.09,0.89846,-1.089,-0.76959,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.42908,94,100,-6
India,1973,-0.932,0.1138,-1.261,-1.05166,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7408919999999999,129,141,-12
Ireland,1973,-0.931,-0.51845,0.372,0.41045,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.14804500000000004,55,55,0
Iceland,1973,-0.536,-0.60339,0.55,0.37453,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.04831099999999999,30,24,6
Israel,1973,-0.792,-0.35577,0.552,0.22999,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.053533000000000004,32,33,-1
Italy,1973,-0.869,-0.41952,0.446,0.37241,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.09137400000000002,41,45,-4
Japan,1973,-0.833,-0.47476,0.409,0.47141,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.09204599999999999,42,46,-4
Sweden,1973,-0.374,-0.17207,0.872,-0.1225,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.110679,6,3,3
Thailand,1973,-0.918,-0.50994,-0.22,-0.09086,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.420754,92,93,-1
Tunisia,1973,-0.869,-0.29887,-0.694,-1.15921,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.703503,121,120,1
Uruguay,1973,-1.049,-0.47985,0.344,0.2487,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.20081499999999997,64,65,-1
United States,1973,-0.539,-0.61036,0.259,0.38664,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.13588,52,48,4
South Africa,1973,-0.784,-0.41265,-1.061,-1.00909,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.800713,142,144,-2
Nicaragua,1973,-0.849,-0.44411,-1.143,-1.15971,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.877875,174,173,1
Netherlands,1973,-0.854,-0.28578,0.355,0.04663,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.140708,54,52,2
Norway,1973,-0.591,-0.11802,0.483,0.08027,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.007348000000000007,14,15,-1
Nepal,1973,-0.918,0.09247,-1.683,-1.1155,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.8838590000000001,177,197,-20
New Zealand,1973,-0.846,-0.35355,0.457,0.27072,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.08402099999999998,40,43,-3
Pakistan,1973,-1.035,0.97711,-1.297,-1.13056,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.529079,100,110,-10
Panama,1973,-0.867,-0.42719,-0.002,0.15361,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.271435,75,79,-4
Peru,1973,-0.827,-0.31553,-1.423,-0.85628,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.858215,164,177,-13
Philippines,1973,-1.029,0.05833,-0.971,-0.6313,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.605861,105,114,-9
Portugal,1973,-0.676,-0.43688,-0.125,-0.0716,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.318084,82,81,1
Qatar,1973,-0.544,-0.49609,-0.266,-0.07362,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.352151,87,86,1
United Kingdom,1973,-0.84,-0.66625,0.491,0.42658,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.13525900000000002,51,50,1
Saudi Arabia,1973,-0.676,-0.78135,-1.4,-0.86353,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.9623109999999999,205,203,2
Singapore,1973,-0.904,-0.52092,0.346,0.35855,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.16156600000000004,57,59,-2
France,1973,-0.77,-0.26675,0.366,-0.00488,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.12520100000000003,48,47,1
Brazil,1973,-0.496,-1.24721,-0.552,-0.72735,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.7844329999999999,139,127,12
Bahrain,1973,-0.629,-0.45468,-0.174,-0.01579,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.317562,81,82,-1
Belgium,1973,-0.695,-0.0337,0.488,-0.09765,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.022239999999999992,21,21,0
Austria,1973,-0.831,-0.42826,0.456,0.5211,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.053657999999999983,33,39,-6
Australia,1973,-0.749,-0.24423,0.481,0.15152,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.048465000000000036,31,31,0
Argentina,1973,-0.317,-0.07731,0.041,0.32429,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.009434999999999985,18,23,-5
United Arab Emirates,1973,-0.132,-1.39481,-0.507,-0.50193,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.697329,116,109,7
Poland,1973,-0.075,-0.23298,0.457,0.23906,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.100018,7,5,2
Jordan,1973,-0.886,-0.24658,-0.607,-0.80211,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.593696,104,106,-2
Cyprus,1973,0.447,-0.43066,0.171,-0.52998,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.09449399999999997,44,19,25
Finland,1973,-0.872,-0.5635,0.238,0.13639,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.24477200000000002,70,71,-1
Ecuador,1973,-0.854,-0.14724,-0.934,-0.636,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.622372,108,113,-5
Algeria,1973,-0.89,0.00099,-1.925,-1.29766,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-1.0147350000000002,223,233,-10
Denmark,1973,-0.664,0.08413,0.585,0.33547,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.135033,5,8,-3
Canada,1973,-0.692,-0.33073,0.707,0.24647,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,0.02377499999999999,10,11,-1
Switzerland,1973,-0.379,-0.48806,0.501,-0.01605,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.07512800000000001,38,27,11
Chile,1973,-0.618,-0.44591,-0.113,0.07772,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.27572899999999995,77,77,0
China,1973,-0.839,-0.21426,-0.601,-0.80438,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.573254,103,103,0
Colombia,1973,-0.995,-0.55479,-0.345,0.1351,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.441917,97,97,0
Costa Rica,1973,-0.952,-0.50523,0.103,0.10862,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.28934499999999996,79,80,-1
Spain,1973,-0.942,-0.64284,0.244,0.25566,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.25692000000000004,73,74,-1
Germany,1973,-0.741,0.02563,0.232,0.26387,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.018137,20,32,-12
Morocco,1974,-0.936,0.11918,-1.656,-1.12604,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.873454,179,193,-14
Mexico,1974,-1.015,-1.15244,-0.683,-1.08993,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.971618,210,191,19
Malaysia,1974,-0.987,-0.73507,-0.073,-0.47195,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.534211,104,103,1
Malta,1974,-0.811,-0.45399,0.262,0.06015,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.207767,69,69,0
Indonesia,1974,-0.977,0.23183,-1.052,-0.68198,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.577847,111,118,-7
India,1974,-1.03,0.86278,-1.224,-1.10801,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.535968,105,115,-10
Ireland,1974,-0.821,-0.14516,0.208,0.34584,Scenario_1_20_30_30_20,0.2,0.3,0.3,0.2,-0.07618000000000004,40,52,-12
