Year,Country,Quality_of_Life_Rank
2012,Norway,1
2012,Switzerland,2
2012,Germany,3
2012,Denmark,4
2012,Australia,5
2012,Netherlands,6
2012,New Zealand,7
2012,Iceland,9
2012,Canada,10
2012,Singapore,11
2012,Finland,13
2012,United States,14
2012,Belgium,15
2012,Sweden,16
2012,United Kingdom,17
2012,Austria,18
2012,Japan,19
2012,Ireland,20
2012,Israel,21
2012,Slovenia,23
2012,Italy,24
2012,France,25
2012,Spain,26
2012,Estonia,27
2012,Greece,28
2012,Malta,29
2012,Cyprus,30
2012,Poland,31
2012,Lithuania,32
2012,United Arab Emirates,33
2012,Argentina,35
2012,Portugal,36
2012,Saudi Arabia,37
2012,Latvia,38
2012,Hungary,39
2012,Croatia,40
2012,Qatar,41
2012,Kuwait,42
2012,Chile,43
2012,Bahrain,44
2012,Montenegro,45
2012,Belarus,47
2012,Romania,48
2012,Bulgaria,49
2012,Uruguay,50
2012,Costa Rica,51
2012,Panama,52
2012,Kazakhstan,53
2012,Serbia,54
2012,Malaysia,55
2012,Georgia,56
2012,Ukraine,57
2012,Lebanon,60
2012,Mexico,61
2012,Armenia,62
2012,Ecuador,63
2012,Thailand,64
2012,North Macedonia,66
2012,Peru,67
2012,Moldova,68
2012,Colombia,69
2012,Azerbaijan,70
2012,Brazil,71
2012,Algeria,72
2012,Tunisia,73
2012,Jordan,74
2012,Mongolia,75
2012,China,76
2012,South Africa,77
2012,Philippines,79
2012,Indonesia,80
2012,Nicaragua,83
2012,Morocco,84
2012,India,85
2012,Nepal,86
2012,Pakistan,87
