Year,Country,Economic_Rank
1980,United Arab Emirates,1
1980,Germany,2
1980,Belgium,3
1980,Qatar,4
1980,Bermuda,6
1980,Benin,7
1980,Belize,7
1980,Puerto Rico,8
1980,Netherlands,9
1980,United States,10
1980,Tajikistan,11
1980,Austria,12
1980,Ghana,13
1980,Dominica,14
1980,Djibouti,14
1980,Dominican Republic,14
1980,Denmark,15
1980,Early-demographic dividend,16
1980,Lao PDR,17
1980,Late-demographic dividend,17
1980,"Korea, Dem. People's Rep.",17
1980,Kosovo,17
1980,Kyrgyz Republic,17
1980,Kuwait,18
1980,Switzerland,19
1980,Suriname,20
1980,Sub-Saharan Africa (IDA & IBRD countries),20
1980,Sub-Saharan Africa,20
1980,Sub-Saharan Africa (excluding high income),20
1980,Sudan,20
1980,Solomon Islands,21
1980,Small states,21
1980,France,22
1980,Upper middle income,23
1980,Slovenia,24
1980,Sweden,25
1980,Norway,26
1980,Oman,27
1980,OECD members,27
1980,Saudi Arabia,28
1980,Sao Tome and Principe,29
1980,Senegal,29
1980,French Polynesia,30
1980,Croatia,31
1980,Bangladesh,32
1980,Cuba,33
1980,Canada,34
1980,Eritrea,35
1980,Europe & Central Asia,35
1980,Euro area,35
1980,Ethiopia,35
1980,Eswatini,35
1980,Europe & Central Asia (IDA & IBRD countries),35
1980,United Kingdom,36
1980,Estonia,37
1980,Cambodia,38
1980,Central African Republic,38
1980,Cameroon,38
1980,Caribbean small states,38
1980,Latin America & Caribbean,40
1980,Least developed countries: UN classification,40
1980,Latin America & Caribbean (excluding high income),40
1980,Latvia,40
1980,Latin America & the Caribbean (IDA & IBRD countries),40
1980,European Union,41
1980,Fiji,41
1980,Fragile and conflict affected situations,41
1980,Bahrain,42
1980,Lower middle income,43
1980,Low income,43
1980,Low & middle income,43
1980,Libya,43
1980,Lithuania,43
1980,Lesotho,45
1980,Lebanon,45
1980,Liberia,45
1980,Europe & Central Asia (excluding high income),46
1980,Italy,47
1980,Jamaica,48
1980,IDA only,49
1980,IDA total,49
1980,Finland,50
1980,Montenegro,52
1980,Iceland,53
1980,Japan,54
1980,Ireland,55
1980,Argentina,56
1980,New Zealand,58
1980,Isle of Man,59
1980,Arab World,60
1980,Antigua and Barbuda,60
1980,High income,61
1980,Honduras,61
1980,Heavily indebted poor countries (HIPC),62
1980,Guyana,62
1980,Haiti,62
1980,Rwanda,63
1980,Samoa,63
1980,New Caledonia,65
1980,Grenada,66
1980,Guinea,66
1980,Guatemala,66
1980,Gibraltar,66
1980,Guam,66
1980,Greenland,66
1980,Guinea-Bissau,66
1980,Israel,67
1980,Spain,68
1980,Greece,69
1980,St. Kitts and Nevis,71
1980,St. Lucia,71
1980,St. Martin (French part),71
1980,St. Vincent and the Grenadines,71
1980,Sri Lanka,71
1980,Australia,72
1980,Poland,73
1980,British Virgin Islands,74
1980,Iraq,75
1980,Bolivia,77
1980,Botswana,77
1980,Bhutan,77
1980,Serbia,78
1980,Seychelles,79
1980,North Macedonia,80
1980,North America,81
1980,Brazil,82
1980,Romania,83
1980,"Bahamas, The",84
1980,Azerbaijan,84
1980,Kiribati,85
1980,Kenya,85
1980,Sint Maarten (Dutch part),86
1980,Kazakhstan,87
1980,Sierra Leone,88
