Year,Country,Quality_of_Life_Rank
2021,Switzerland,1
2021,Norway,2
2021,Iceland,3
2021,Australia,5
2021,Denmark,6
2021,Sweden,7
2021,Ireland,8
2021,Germany,9
2021,Netherlands,10
2021,Finland,11
2021,Singapore,12
2021,Belgium,13
2021,New Zealand,14
2021,Canada,15
2021,United Kingdom,17
2021,Japan,18
2021,United States,19
2021,Israel,20
2021,Slovenia,21
2021,Malta,22
2021,Austria,23
2021,United Arab Emirates,24
2021,Spain,25
2021,France,26
2021,Cyprus,27
2021,Italy,28
2021,Estonia,29
2021,Greece,31
2021,Poland,32
2021,Lithuania,33
2021,Bahrain,34
2021,Saudi Arabia,35
2021,Portugal,36
2021,Latvia,37
2021,Croatia,38
2021,Qatar,39
2021,Chile,40
2021,Hungary,42
2021,Argentina,43
2021,Montenegro,45
2021,Kuwait,46
2021,Romania,48
2021,Kazakhstan,49
2021,Uruguay,50
2021,Costa Rica,51
2021,Belarus,52
2021,Panama,53
2021,Malaysia,54
2021,Georgia,55
2021,Serbia,56
2021,Thailand,57
2021,Bulgaria,58
2021,Ukraine,60
2021,North Macedonia,62
2021,China,63
2021,Moldova,64
2021,Peru,65
2021,Armenia,66
2021,Mexico,67
2021,Brazil,68
2021,Colombia,69
2021,Azerbaijan,70
2021,Algeria,71
2021,Ecuador,72
2021,Mongolia,73
2021,Tunisia,74
2021,India,75
2021,Jordan,77
2021,South Africa,78
2021,Lebanon,79
2021,Indonesia,80
2021,Philippines,82
2021,Morocco,83
2021,Nicaragua,84
2021,Nepal,85
2021,Pakistan,87
