Year,Country,Sustainability_Rank
1986,France,1
1986,Austria,2
1986,Canada,3
1986,Switzerland,4
1986,Puerto Rico,5
1986,Bahrain,6
1986,OECD members,7
1986,Gibraltar,8
1986,Italy,9
1986,Australia,10
1986,Sweden,11
1986,Norway,12
1986,Belgium,13
1986,Ukraine,14
1986,Finland,15
1986,Slovenia,16
1986,Post-demographic dividend,17
1986,Spain,18
1986,United States,19
1986,Denmark,20
1986,Estonia,21
1986,Japan,22
1986,United Kingdom,23
1986,Israel,24
1986,Latvia,25
1986,Uruguay,26
1986,Channel Islands,27
1986,Iceland,28
1986,Chile,29
1986,Montenegro,30
1986,Aruba,31
1986,Cuba,32
1986,Bermuda,33
1986,Hungary,34
1986,British Virgin Islands,35
1986,European Union,36
1986,Sint Maarten (Dutch part),37
1986,Qatar,38
1986,Argentina,39
1986,Portugal,40
1986,Romania,41
1986,Central Europe and the Baltics,42
1986,Greece,43
1986,Faroe Islands,45
1986,Netherlands,46
1986,Jordan,47
1986,Brunei Darussalam,48
1986,Kosovo,49
1986,High income,50
1986,Germany,51
1986,Belarus,52
1986,New Zealand,53
1986,French Polynesia,54
1986,Ireland,55
1986,New Caledonia,56
1986,Europe & Central Asia (excluding high income),57
1986,Uzbekistan,58
1986,Luxembourg,59
1986,East Asia & Pacific (excluding high income),61
1986,Grenada,62
1986,Curacao,63
1986,St. Martin (French part),64
1986,Antigua and Barbuda,65
1986,Panama,66
1986,Bulgaria,67
1986,Europe & Central Asia,68
1986,Serbia,69
1986,Euro area,70
1986,North America,71
1986,East Asia & Pacific (IDA & IBRD countries),72
1986,Malta,73
1986,China,75
1986,Guam,76
1986,Armenia,77
1986,Caribbean small states,78
1986,Azerbaijan,79
1986,Virgin Islands (U.S.),81
1986,Seychelles,82
1986,St. Vincent and the Grenadines,82
1986,Trinidad and Tobago,82
1986,Poland,83
1986,Dominica,84
1986,Barbados,85
1986,Cyprus,86
1986,North Macedonia,87
1986,"Bahamas, The",88
1986,Europe & Central Asia (IDA & IBRD countries),89
1986,Malaysia,91
1986,Turkmenistan,92
1986,Kazakhstan,93
1986,Costa Rica,94
1986,Late-demographic dividend,95
1986,Saudi Arabia,96
1986,Kuwait,97
1986,Moldova,98
1986,Ecuador,99
1986,St. Lucia,100
1986,Lithuania,101
1986,Albania,102
1986,Sri Lanka,103
1986,East Asia & Pacific,104
1986,Jamaica,105
1986,Georgia,106
1986,Pacific island small states,108
1986,Algeria,109
1986,Singapore,110
1986,Tajikistan,111
1986,South Asia (IDA & IBRD),112
1986,South Asia,112
1986,Thailand,113
1986,Tunisia,114
1986,Isle of Man,116
1986,Mexico,117
1986,Other small states,118
1986,Libya,119
1986,Brazil,120
1986,Croatia,121
1986,Turks and Caicos Islands,122
1986,South Africa,124
1986,Greenland,125
1986,"Korea, Dem. People's Rep.",126
1986,Mauritius,126
1986,Oman,127
1986,Fiji,128
1986,Colombia,129
1986,Latin America & Caribbean,130
1986,Latin America & the Caribbean (IDA & IBRD countries),130
1986,St. Kitts and Nevis,131
1986,Philippines,132
1986,Honduras,133
1986,Paraguay,134
1986,Belize,135
1986,Suriname,136
1986,Tonga,138
1986,"Micronesia, Fed. Sts.",140
1986,Indonesia,141
1986,United Arab Emirates,142
1986,Botswana,143
1986,Cabo Verde,144
1986,Latin America & Caribbean (excluding high income),145
1986,Dominican Republic,146
1986,World,148
1986,Tuvalu,149
1986,Upper middle income,150
1986,IBRD only,151
1986,Samoa,152
1986,Solomon Islands,154
1986,Middle East & North Africa (IDA & IBRD countries),155
1986,Middle East & North Africa (excluding high income),156
1986,Small states,157
1986,Middle East & North Africa,158
1986,Kyrgyz Republic,159
1986,Zimbabwe,160
1986,Lebanon,161
1986,IDA & IBRD total,162
1986,Lao PDR,164
1986,Guyana,165
1986,Marshall Islands,166
1986,Eswatini,167
1986,Arab World,168
1986,Nauru,169
1986,Low & middle income,170
1986,Morocco,171
1986,Vanuatu,172
1986,Central African Republic,173
1986,Kenya,174
1986,"Yemen, Rep.",174
1986,El Salvador,175
1986,Bolivia,175
1986,"Congo, Rep.",175
1986,Early-demographic dividend,176
1986,Comoros,177
1986,Nigeria,177
1986,Peru,178
1986,IDA total,179
1986,Bangladesh,180
1986,Iraq,181
1986,Middle income,182
1986,Guatemala,182
1986,Kiribati,183
1986,Maldives,184
1986,Lesotho,185
1986,Gabon,186
1986,Djibouti,187
1986,Sao Tome and Principe,188
1986,Sierra Leone,189
1986,Rwanda,189
1986,Togo,189
1986,Mali,189
1986,South Sudan,189
1986,Africa Western and Central,189
1986,Madagascar,189
1986,Myanmar,189
1986,Malawi,189
1986,Burundi,189
1986,Tanzania,189
1986,Burkina Faso,189
1986,Timor-Leste,189
1986,Uganda,189
1986,Somalia,189
1986,Pre-demographic dividend,189
1986,Afghanistan,189
1986,Mozambique,189
1986,"Congo, Dem. Rep.",189
1986,Niger,189
1986,Chad,189
1986,Angola,189
1986,Sub-Saharan Africa (excluding high income),189
1986,Ethiopia,189
1986,Heavily indebted poor countries (HIPC),189
1986,Africa Eastern and Southern,189
1986,Least developed countries: UN classification,189
1986,Papua New Guinea,189
1986,Sudan,189
1986,Liberia,189
1986,Sub-Saharan Africa,189
1986,Low income,189
1986,Sub-Saharan Africa (IDA & IBRD countries),189
1986,Fragile and conflict affected situations,190
1986,Zambia,191
1986,Equatorial Guinea,192
1986,Guinea-Bissau,193
1986,Bhutan,194
1986,Guinea,195
1986,Mauritania,196
1986,Eritrea,197
1986,Haiti,198
1986,Senegal,199
1986,IDA blend,200
1986,Lower middle income,201
1986,Cameroon,201
1986,Benin,202
1986,"Gambia, The",202
1986,Ghana,203
1986,Cambodia,204
1986,Namibia,204
1986,IDA only,204
1986,Nepal,205
1986,Mongolia,206
1986,India,207
1986,Nicaragua,208
1986,Pakistan,209
