Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
2016,Switzerland,1,4,1,1,55
2016,Norway,2,3,2,2,72
2016,Singapore,5,4,9,3,14
2016,Australia,9,9,8,5,6
2016,United States,10,17,17,6,7
2016,Denmark,8,6,4,6,62
2016,Japan,7,16,18,7,13
2016,New Zealand,14,1,10,8,53
2016,Iceland,3,14,3,9,86
2016,Netherlands,22,7,11,10,12
2016,Canada,23,8,14,11,9
2016,United Kingdom,11,12,16,12,30
2016,Ireland,13,15,13,13,21
2016,Finland,17,2,12,14,54
2016,Qatar,15,35,40,15,1
2016,Sweden,16,5,6,16,81
2016,Belgium,19,18,15,17,24
2016,Germany,27,11,5,18,25
2016,United Arab Emirates,21,27,33,20,3
2016,Israel,20,21,21,21,17
2016,Austria,25,13,20,22,52
2016,France,18,19,25,23,45
2016,Kuwait,6,57,45,24,2
2016,Malta,31,27,27,26,51
2016,Estonia,45,20,29,27,18
2016,Italy,26,39,28,28,44
2016,Spain,35,29,24,29,46
2016,Slovenia,41,26,23,30,38
2016,Bahrain,39,44,35,31,4
2016,Cyprus,34,31,31,32,33
2016,Saudi Arabia,42,46,36,34,5
2016,Portugal,44,23,39,35,65
2016,Lithuania,50,25,34,36,69
2016,Chile,51,24,41,36,57
2016,Poland,58,34,32,37,26
2016,Greece,40,47,30,39,37
2016,Argentina,30,54,43,40,40
2016,Latvia,48,32,37,41,75
2016,Costa Rica,33,37,55,42,80
2016,Uruguay,38,33,50,43,85
2016,China,24,61,74,44,28
2016,Croatia,46,42,42,45,68
2016,Hungary,56,41,44,46,48
2016,Malaysia,55,40,56,47,20
2016,Panama,36,50,54,48,66
2016,India,28,55,80,50,78
2016,Bulgaria,67,49,52,51,41
2016,Romania,71,43,49,52,64
2016,Jordan,43,45,77,54,47
2016,Lebanon,32,81,72,55,32
2016,Montenegro,63,51,47,56,79
2016,Thailand,53,53,60,57,60
2016,Georgia,82,38,58,58,71
2016,Serbia,74,52,57,59,39
2016,Belarus,62,75,51,60,29
2016,South Africa,66,48,78,62,23
2016,Kazakhstan,83,71,53,63,10
2016,Mexico,65,70,62,64,44
2016,Ecuador,50,74,67,65,58
2016,Peru,60,65,66,67,73
2016,Mongolia,75,58,76,68,27
2016,North Macedonia,79,56,64,69,59
2016,Armenia,73,68,65,70,63
2016,Brazil,64,64,70,71,82
2016,Tunisia,76,59,75,72,56
2016,Colombia,80,57,68,73,76
2016,Indonesia,61,62,82,75,74
2016,Ukraine,84,80,61,76,34
2016,Azerbaijan,81,72,71,77,36
2016,Algeria,78,83,73,79,31
2016,Philippines,70,67,81,80,77
2016,Morocco,69,66,84,81,61
2016,Nicaragua,37,78,85,82,84
2016,Moldova,87,73,69,83,67
2016,Nepal,86,82,86,84,87
2016,Pakistan,85,84,88,85,83
