Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
1996,Denmark,2,3,11,1,7
1996,Switzerland,3,7,8,2,43
1996,United States,8,16,1,3,5
1996,Japan,1,22,10,4,20
1996,Norway,4,1,4,5,66
1996,Netherlands,11,4,3,6,11
1996,Sweden,5,6,9,7,55
1996,Germany,9,13,10,8,12
1996,Australia,21,11,2,9,6
1996,Canada,20,10,5,10,8
1996,Finland,16,5,13,11,26
1996,Belgium,15,17,7,12,9
1996,United Kingdom,13,8,16,13,17
1996,Singapore,7,12,23,14,13
1996,Iceland,6,14,15,15,62
1996,Austria,12,9,14,16,40
1996,United Arab Emirates,10,37,33,17,2
1996,New Zealand,24,2,12,18,54
1996,France,14,20,17,19,37
1996,Ireland,22,15,24,20,16
1996,Qatar,29,47,27,22,1
1996,Spain,19,18,21,23,38
1996,Italy,18,28,20,24,30
1996,Israel,25,26,19,25,24
1996,Kuwait,26,41,28,26,4
1996,Bahrain,28,43,30,27,3
1996,Portugal,23,19,32,28,57
1996,Slovenia,31,25,31,29,33
1996,Greece,27,30,25,30,29
1996,Cyprus,36,23,29,32,28
1996,Malta,33,27,34,35,31
1996,Poland,48,31,35,36,21
1996,Estonia,53,33,37,37,19
1996,Hungary,51,28,38,38,35
1996,Chile,58,21,39,39,69
1996,Saudi Arabia,30,58,44,40,10
1996,Uruguay,42,32,42,42,75
1996,Argentina,43,46,36,43,53
1996,Malaysia,45,39,52,44,39
1996,Lithuania,65,35,43,45,52
1996,Latvia,55,44,46,46,65
1996,South Africa,62,38,61,47,45
1996,Costa Rica,57,34,49,48,76
1996,Panama,34,49,48,49,74
1996,Croatia,35,66,41,50,68
1996,Bulgaria,69,60,45,51,32
1996,Montenegro,37,61,51,53,71
1996,Thailand,40,45,70,54,61
1996,Mexico,44,65,56,55,56
1996,Lebanon,54,67,53,56,48
1996,Romania,87,55,50,57,42
1996,Jordan,75,48,62,57,48
1996,North Macedonia,39,70,66,58,51
1996,Ukraine,52,79,55,59,27
1996,Belarus,70,77,54,60,34
1996,Brazil,47,52,65,61,79
1996,Ecuador,56,71,59,62,63
1996,Tunisia,59,54,71,65,60
1996,Serbia,41,86,57,66,41
1996,Peru,50,64,67,67,72
1996,Moldova,78,59,73,68,47
1996,Kazakhstan,79,83,60,69,15
1996,Philippines,67,56,72,72,78
1996,Colombia,61,74,64,73,70
1996,Mongolia,88,50,79,74,46
1996,Armenia,82,68,69,75,64
1996,Algeria,76,84,74,76,50
1996,Georgia,73,85,58,77,77
1996,Morocco,68,51,83,79,67
1996,China,80,69,81,80,69
1996,Azerbaijan,84,87,76,81,44
1996,Indonesia,77,76,78,82,80
1996,India,85,53,84,84,81
1996,Nicaragua,81,72,82,85,84
1996,Nepal,64,63,85,86,85
1996,Pakistan,71,80,86,87,82
