Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
1978,Sweden,4,47,3,1,7
1978,Faroe Islands,67,5,1,2,1
1978,Denmark,6,25,5,3,8
1978,Slovenia,7,10,30,4,3
1978,Switzerland,14,31,20,6,5
1978,Puerto Rico,13,22,15,7,30
1978,Australia,45,8,6,8,48
1978,Austria,15,51,26,9,2
1978,United States,20,21,9,10,28
1978,Qatar,10,32,37,11,6
1978,Norway,18,36,14,12,38
1978,Bermuda,25,33,10,12,22
1978,Iceland,48,18,8,13,33
1978,Belgium,42,28,16,14,11
1978,Netherlands,11,50,50,15,4
1978,Japan,19,52,22,16,9
1978,Kuwait,12,20,56,17,14
1978,Greece,104,7,2,18,75
1978,North America,77,17,4,19,42
1978,Canada,64,12,10,20,39
1978,Cuba,23,30,27,21,56
1978,OECD members,22,38,42,22,27
1978,Germany,47,13,31,23,60
1978,Euro area,31,42,28,26,58
1978,Israel,102,26,11,27,23
1978,Argentina,46,4,73,28,19
1978,Croatia,21,79,57,30,40
1978,Romania,89,19,38,31,26
1978,France,71,39,19,32,67
1978,Post-demographic dividend,159,34,12,33,13
1978,New Zealand,108,37,7,34,78
1978,Suriname,5,27,82,35,93
1978,United Arab Emirates,1,156,95,36,79
1978,Finland,58,88,23,36,32
1978,Sint Maarten (Dutch part),101,44,25,36,21
1978,Antigua and Barbuda,53,71,59,37,25
1978,United Kingdom,102,85,13,38,57
1978,Poland,62,69,41,39,46
1978,Montenegro,52,61,45,40,84
1978,Europe & Central Asia (IDA & IBRD countries),29,95,65,41,35
1978,Latvia,30,83,58,42,83
1978,Barbados,88,59,34,43,45
1978,Gibraltar,95,56,36,44,41
1978,Italy,94,65,29,45,36
1978,European Union,67,68,44,46,54
1978,Malta,72,43,53,47,52
1978,Lithuania,33,94,52,48,85
1978,High income,66,75,48,49,55
1978,Dominica,16,127,66,50,66
1978,Europe & Central Asia,29,89,70,51,49
1978,Channel Islands,173,54,21,52,18
1978,Aruba,80,70,49,53,53
1978,Jamaica,32,46,80,54,70
1978,Estonia,24,62,76,55,71
1978,Grenada,95,77,47,57,44
1978,Cyprus,133,63,40,58,17
1978,Bulgaria,85,121,29,59,31
1978,Bahrain,59,93,54,60,74
1978,Brunei Darussalam,87,6,74,61,89
1978,Singapore,119,74,25,62,77
1978,Hungary,129,96,43,63,16
1978,"Korea, Dem. People's Rep.",9,64,87,64,113
1978,Serbia,78,98,58,64,59
1978,Belarus,97,15,81,65,69
1978,St. Vincent and the Grenadines,111,9,75,65,61
