Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
1974,Poland,23,8,20,2,36
1974,Sweden,35,22,1,3,69
1974,Euro area,12,31,15,4,19
1974,Puerto Rico,8,34,26,5,39
1974,Europe & Central Asia (IDA & IBRD countries),12,32,27,6,22
1974,Canada,76,19,3,7,16
1974,Germany,52,17,13,8,7
1974,Denmark,25,46,6,9,20
1974,United Kingdom,83,3,11,10,85
1974,Switzerland,27,89,4,11,8
1974,Tajikistan,2,73,60,12,48
1974,Japan,65,10,24,13,25
1974,North America,51,36,5,14,13
1974,Iceland,36,20,9,15,68
1974,Norway,81,14,8,16,49
1974,Bermuda,42,37,12,17,6
1974,Australia,35,49,14,18,10
1974,France,66,4,22,20,88
1974,Greece,82,51,2,21,29
1974,Europe & Central Asia,12,59,42,22,41
1974,Curacao,5,75,61,23,53
1974,Cuba,11,76,47,24,50
1974,Latvia,15,63,40,25,74
1974,Montenegro,24,47,28,25,77
1974,Lithuania,17,66,35,26,78
1974,Sint Maarten (Dutch part),100,38,10,26,9
1974,Belgium,37,72,16,27,37
1974,Dominica,34,12,67,28,33
1974,Romania,54,28,29,28,42
1974,Belarus,62,54,18,28,21
1974,Croatia,10,132,50,29,17
1974,Finland,37,25,52,30,11
1974,Italy,109,26,25,31,5
1974,OECD members,68,41,21,32,30
1974,Estonia,12,134,49,33,18
1974,Kuwait,7,168,55,35,52
1974,Grenada,89,32,27,36,22
1974,Qatar,3,77,89,37,57
1974,Israel,44,71,36,38,35
1974,New Zealand,115,69,25,39,2
1974,Slovenia,4,173,55,40,98
1974,United Arab Emirates,1,122,84,41,76
1974,Bulgaria,47,130,17,42,28
1974,British Virgin Islands,49,9,69,43,84
1974,Austria,116,84,21,43,3
1974,Post-demographic dividend,114,50,23,44,26
1974,High income,69,43,39,45,58
1974,Lebanon,22,48,74,46,62
1974,Antigua and Barbuda,30,58,63,47,44
1974,European Union,45,65,44,47,59
1974,Ireland,111,24,54,48,12
1974,Aruba,59,99,34,48,40
1974,United States,75,44,51,49,31
1974,"Bahamas, The",60,39,59,50,38
1974,Channel Islands,104,78,30,51,27
1974,Sri Lanka,127,12,67,52,33
1974,Singapore,135,103,31,53,1
1974,Kosovo,9,62,83,54,95
1974,Hungary,96,68,33,55,71
1974,St. Martin (French part),127,52,41,56,24
1974,Netherlands,86,101,43,56,14
1974,Gibraltar,89,53,53,57,34
1974,Argentina,33,27,81,58,61
1974,Georgia,144,82,45,59,4
1974,North Macedonia,46,21,76,60,75
1974,Brunei Darussalam,48,95,62,61,47
1974,Uruguay,154,83,38,62,15
1974,Malta,108,81,48,63,55
1974,Barbados,63,35,71,63,72
1974,St. Vincent and the Grenadines,127,102,37,65,54
1974,Armenia,64,40,82,66,64
1974,Trinidad and Tobago,149,80,46,67,51
1974,Central Europe and the Baltics,104,88,57,68,60
1974,Luxembourg,137,42,58,69,79
1974,Guam,89,118,56,70,63
1974,Europe & Central Asia (excluding high income),45,33,75,70,108
1974,Bahrain,88,30,77,71,86
1974,Serbia,43,90,88,72,56
1974,Jamaica,77,29,73,73,107
1974,Moldova,99,55,72,74,82
1974,Spain,122,141,50,75,73
1974,Belize,42,61,92,76,103
1974,Ukraine,90,74,78,77,70
1974,Suriname,31,86,96,78,92
1974,Caribbean small states,73,56,90,79,105
1974,Portugal,133,100,66,80,89
1974,Costa Rica,128,105,65,81,99
1974,St. Lucia,127,57,80,82,93
1974,Albania,113,60,91,84,104
1974,Turks and Caicos Islands,159,62,83,86,95
1974,Isle of Man,112,92,94,87,94
1974,French Polynesia,74,79,98,88,111
1974,St. Kitts and Nevis,127,94,95,89,87
1974,Upper middle income,58,117,104,90,97
1974,World,87,87,102,91,96
1974,Jordan,146,104,99,92,67
1974,Thailand,157,147,87,93,90
1974,"Korea, Dem. People's Rep.",9,170,113,94,124
1974,Colombia,162,107,100,95,45
1974,Virgin Islands (U.S.),87,169,101,96,81
1974,Chile,121,106,97,97,112
1974,Malaysia,157,163,79,98,110
1974,Solomon Islands,4,152,135,98,133
1974,Small states,4,151,137,98,132
1974,Latin America & Caribbean,14,146,117,99,131
1974,Tunisia,156,165,103,100,66
1974,Brazil,53,143,107,101,128
1974,Tonga,148,125,105,102,100
1974,Late-demographic dividend,9,162,126,103,125
1974,Panama,155,167,106,104,80
1974,Kyrgyz Republic,9,149,132,105,136
