Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
2013,Norway,1,3,1,1,69
2013,Switzerland,2,6,2,2,49
2013,Australia,3,10,7,3,7
2013,Denmark,5,2,4,4,59
2013,New Zealand,8,5,8,5,51
2013,Singapore,11,7,11,6,14
2013,Canada,14,9,11,7,9
2013,Japan,6,18,16,8,13
2013,Finland,12,1,9,9,47
2013,Sweden,9,4,5,10,76
2013,Ireland,10,15,17,11,26
2013,Netherlands,17,8,7,12,15
2013,Belgium,13,17,15,13,22
2013,Bahrain,4,46,42,14,3
2013,United Kingdom,16,13,12,15,25
2013,Qatar,21,28,41,16,1
2013,Iceland,7,16,6,17,85
2013,Germany,23,14,3,18,23
2013,Austria,19,11,18,19,52
2013,United States,27,19,14,20,8
2013,France,15,20,22,22,42
2013,Israel,24,27,19,23,16
2013,Cyprus,22,24,30,25,34
2013,United Arab Emirates,31,32,32,26,4
2013,Malta,30,22,27,27,31
2013,Italy,20,42,23,28,46
2013,Slovenia,33,29,21,30,37
2013,Estonia,43,23,26,31,12
2013,Spain,32,26,25,32,53
2013,Kuwait,29,51,43,33,2
2013,Greece,28,44,28,34,35
2013,Saudi Arabia,36,55,36,36,5
2013,Portugal,38,25,34,37,70
2013,Chile,46,21,40,38,64
2013,Armenia,18,61,59,39,56
2013,Poland,66,34,29,41,27
2013,Uruguay,35,36,49,42,83
2013,Lithuania,55,33,31,43,67
2013,Latvia,51,37,37,44,73
2013,Croatia,40,43,39,45,68
2013,Hungary,59,38,38,46,55
2013,Costa Rica,42,39,52,47,82
2013,Malaysia,63,41,55,48,20
2013,Argentina,41,74,35,49,40
2013,Kazakhstan,54,80,51,52,6
2013,Montenegro,56,52,44,53,79
2013,South Africa,58,47,76,54,21
2013,Romania,68,48,46,55,63
2013,Lebanon,39,75,61,56,36
2013,Panama,61,53,53,57,65
2013,Bulgaria,68,54,48,58,45
2013,Azerbaijan,37,79,70,59,39
2013,Jordan,53,50,74,60,43
2013,Mongolia,47,69,73,61,24
2013,Georgia,67,45,56,62,72
2013,Brazil,48,56,65,63,80
2013,China,50,71,75,64,29
2013,Serbia,71,62,54,65,37
2013,Mexico,65,60,60,66,44
2013,Thailand,64,58,67,67,61
2013,Colombia,62,63,69,70,75
2013,Belarus,73,85,47,71,30
2013,North Macedonia,82,57,64,72,58
2013,Tunisia,75,59,72,73,60
2013,Ukraine,78,84,57,74,28
2013,Peru,76,68,66,75,71
2013,Ecuador,77,76,62,76,57
2013,Moldova,79,70,68,77,66
2013,Algeria,84,78,71,78,33
2013,Philippines,72,64,78,79,81
2013,Morocco,70,67,81,80,62
2013,Indonesia,74,72,79,81,74
2013,Nicaragua,44,77,82,82,86
2013,India,87,66,83,85,78
2013,Nepal,85,83,85,87,87
2013,Pakistan,86,86,86,88,84
