Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
2019,Switzerland,1,5,1,1,58
2019,Norway,3,3,2,2,75
2019,Iceland,2,13,3,4,85
2019,Australia,10,10,11,5,6
2019,Singapore,13,2,9,6,12
2019,Japan,5,16,17,7,15
2019,Netherlands,12,8,8,8,17
2019,Denmark,7,6,7,9,71
2019,United States,9,19,16,10,7
2019,Canada,21,9,13,11,10
2019,New Zealand,14,4,13,13,47
2019,Finland,18,1,12,14,65
2019,Ireland,8,17,10,15,25
2019,Germany,22,11,5,16,28
2019,Sweden,17,7,6,17,80
2019,Austria,15,12,22,18,51
2019,Belgium,19,21,14,19,22
2019,Qatar,25,36,40,20,1
2019,United Kingdom,24,15,15,21,33
2019,France,11,20,25,22,46
2019,Israel,16,25,19,23,19
2019,United Arab Emirates,28,29,21,24,4
2019,Bahrain,30,46,32,26,2
2019,Malta,27,35,23,27,41
2019,Slovenia,38,24,19,28,34
2019,Italy,23,42,26,29,42
2019,Estonia,43,18,29,30,45
2019,Spain,33,31,24,31,44
2019,Cyprus,31,33,28,32,32
2019,Kuwait,36,52,45,34,3
2019,Portugal,42,23,36,35,66
2019,Saudi Arabia,45,50,34,36,5
2019,Chile,47,28,39,37,55
2019,Lithuania,52,27,31,38,70
2019,Greece,37,45,30,39,39
2019,Latvia,48,32,35,40,76
2019,Poland,58,37,33,41,27
2019,Uruguay,35,34,48,43,84
2019,Croatia,46,44,38,44,69
2019,Malaysia,54,41,55,45,18
2019,Hungary,56,43,41,46,38
2019,Costa Rica,40,40,49,47,79
2019,China,26,60,66,48,24
2019,Panama,39,55,51,49,59
2019,Thailand,44,54,56,50,60
2019,Romania,64,47,47,51,63
2019,Bulgaria,63,48,54,53,40
2019,Montenegro,60,49,46,54,72
2019,Jordan,41,51,75,55,52
2019,Georgia,83,38,53,55,68
2019,Kazakhstan,79,69,49,56,11
2019,India,32,57,72,57,78
2019,Argentina,74,66,42,58,43
2019,South Africa,53,53,73,60,20
2019,Serbia,73,58,52,61,34
2019,Mongolia,65,64,70,62,16
2019,Belarus,74,75,50,63,26
2019,Lebanon,34,85,71,64,30
2019,North Macedonia,78,62,58,65,49
2019,Peru,62,65,61,66,73
2019,Armenia,76,59,62,67,54
2019,Ecuador,55,76,68,68,64
2019,Brazil,57,67,65,70,81
2019,Mexico,71,77,62,71,45
2019,Indonesia,61,63,77,73,67
2019,Moldova,77,73,63,74,62
2019,Colombia,80,61,64,75,77
2019,Ukraine,84,81,57,76,35
2019,Azerbaijan,81,79,67,77,31
2019,Tunisia,86,56,71,78,53
2019,Philippines,69,72,76,79,74
2019,Algeria,75,84,69,80,29
2019,Morocco,72,70,79,81,57
2019,Nicaragua,51,87,80,83,83
2019,Nepal,82,82,81,85,86
2019,Pakistan,87,83,83,86,82
