Year,Country,Institutional_Rank
1991,Switzerland,1
1991,France,2
1991,Austria,3
1991,New Zealand,4
1991,United States,6
1991,Israel,7
1991,Lithuania,9
1991,Denmark,10
1991,Australia,11
1991,Hungary,12
1991,United Kingdom,13
1991,Mongolia,14
1991,Nicaragua,15
1991,India,16
1991,Uruguay,18
1991,Jordan,19
1991,Italy,20
1991,Germany,21
1991,Finland,22
1991,Iceland,23
1991,Azerbaijan,24
1991,Portugal,24
1991,Bulgaria,25
1991,Slovenia,27
1991,Panama,28
1991,Norway,29
1991,Romania,29
1991,Lebanon,30
1991,Japan,31
1991,Mexico,32
1991,Bahrain,33
1991,China,34
1991,Brazil,35
1991,Belarus,36
1991,Moldova,37
1991,Argentina,38
1991,Sweden,39
1991,Qatar,40
1991,Greece,41
1991,Netherlands,42
1991,Costa Rica,43
1991,Nepal,44
1991,North Macedonia,45
1991,Poland,46
1991,Morocco,47
1991,Cyprus,49
1991,Pakistan,50
1991,Kuwait,51
1991,Tunisia,52
1991,Singapore,53
1991,Indonesia,54
1991,Colombia,55
1991,Kazakhstan,56
1991,Ecuador,57
1991,Malaysia,59
1991,Canada,60
1991,Thailand,62
1991,Montenegro,63
1991,Belgium,65
1991,United Arab Emirates,66
1991,Philippines,67
1991,Algeria,68
1991,Saudi Arabia,69
1991,Croatia,70
1991,Armenia,71
1991,Serbia,72
1991,Malta,74
1991,Latvia,75
1991,Peru,76
1991,Ireland,77
1991,Chile,78
1991,Georgia,79
1991,Ukraine,80
1991,Estonia,83
1991,Spain,84
1991,South Africa,85
